47493
#term	doc freq	idx
0	21	0
0.0	1	1
0.00	2	2
0.006	1	3
0.01	8	4
0.012	2	5
0.02	9	6
0.03	6	7
0.034	1	8
0.036	1	9
0.038	1	10
0.04	5	11
0.044	1	12
0.05	19	13
0.052	1	14
0.054	1	15
0.06	8	16
0.060	1	17
0.07	7	18
0.072	1	19
0.075	1	20
0.08	8	21
0.084	1	22
0.09	7	23
0.1	12	24
0.10	24	25
0.11	7	26
0.12	6	27
0.13	4	28
0.132	1	29
0.14	11	30
0.15	21	31
0.16	8	32
0.17	6	33
0.170	1	34
0.18	12	35
0.188	1	36
0.19	11	37
0.2	14	38
0.20	24	39
0.21	9	40
0.22	9	41
0.220	1	42
0.23	13	43
0.24	2	44
0.25	17	45
0.26	5	46
0.262	1	47
0.268	1	48
0.27	7	49
0.276	1	50
0.28	8	51
0.286	1	52
0.29	11	53
0.3	17	54
0.30	19	55
0.302	1	56
0.31	4	57
0.32	8	58
0.33	9	59
0.330714	1	60
0.34	5	61
0.35	23	62
0.36	6	63
0.37	4	64
0.38	3	65
0.39	5	66
0.4	11	67
0.40	16	68
0.403	2	69
0.41	7	70
0.415	1	71
0.42	11	72
0.4211	1	73
0.43	8	74
0.44	7	75
0.448	1	76
0.45	15	77
0.46	4	78
0.469	1	79
0.47	13	80
0.48	9	81
0.49	4	82
0.5	41	83
0.50	18	84
0.506	1	85
0.51	11	86
0.516	1	87
0.52	6	88
0.53	4	89
0.54	13	90
0.544	1	91
0.55	11	92
0.56	4	93
0.57	8	94
0.58	2	95
0.580	1	96
0.589	1	97
0.59	4	98
0.596	1	99
0.599	3	100
0.5p	1	101
0.6	20	102
0.60	12	103
0.600	1	104
0.601	1	105
0.602	2	106
0.604	2	107
0.605	1	108
0.606	3	109
0.607	1	110
0.608	2	111
0.609	1	112
0.61	5	113
0.610	5	114
0.611	16	115
0.612	5	116
0.613	6	117
0.614	10	118
0.615	16	119
0.616	8	120
0.6161	1	121
0.618	5	122
0.619	8	123
0.62	3	124
0.620	11	125
0.621	3	126
0.623	6	127
0.624	8	128
0.625	3	129
0.626	9	130
0.627	5	131
0.628	4	132
0.629	3	133
0.63	13	134
0.630	4	135
0.64	10	136
0.6430	1	137
0.645	1	138
0.65	11	139
0.66	1	140
0.665	1	141
0.666	1	142
0.68	3	143
0.69	4	144
0.69389	1	145
0.7	18	146
0.70	15	147
0.71	6	148
0.7140	1	149
0.7145	1	150
0.7158	1	151
0.72	11	152
0.73	5	153
0.7382	1	154
0.7388	1	155
0.7397	1	156
0.74	4	157
0.7456	1	158
0.7485	2	159
0.7499	1	160
0.75	28	161
0.7512	1	162
0.7518	1	163
0.755	3	164
0.7550	1	165
0.7590	1	166
0.76	18	167
0.7600	1	168
0.7650	1	169
0.77	11	170
0.7745	2	171
0.7750	1	172
0.7760	1	173
0.7765	1	174
0.7775	1	175
0.7780	1	176
0.78	12	177
0.7860	1	178
0.7880	1	179
0.7890	2	180
0.79	25	181
0.7900	3	182
0.7920	2	183
0.7932	1	184
0.7960	2	185
0.8	8	186
0.80	16	187
0.8000	1	188
0.809	1	189
0.81	7	190
0.82	4	191
0.8215	1	192
0.83	9	193
0.84	3	194
0.85	9	195
0.86	7	196
0.87	3	197
0.88	10	198
0.89	4	199
0.894	1	200
0.9	13	201
0.90	15	202
0.91	7	203
0.92	5	204
0.93	7	205
0.94	4	206
0.944	2	207
0.95	19	208
0.96	5	209
0.97	7	210
0.98	8	211
0.99	7	212
00	4	213
0000	2	214
00005	1	215
0003	134	216
0015	1	217
0100	2	218
0125	1	219
0150	2	220
0171	2	221
0181	2	222
02	3	223
020	2	224
0200	6	225
0205	1	226
0210	2	227
0235	1	228
0240	1	229
0245	1	230
0293	1	231
03	3	232
0300	2	233
0315	1	234
0325	1	235
0330	1	236
0335	1	237
0340	2	238
0350	1	239
0359	2	240
04.30	1	241
0400	4	242
0415	1	243
0420	1	244
0430	1	245
0435	1	246
0450	1	247
0455	1	248
0459	4	249
05	2	250
05.45	1	251
0500	11	252
0510	1	253
0530	2	254
0540	2	255
06	2	256
0600	3	257
0604	1	258
07	2	259
0700	5	260
08	2	261
0800	3	262
0820	1	263
0840	2	264
0845	1	265
090	2	266
0900	5	267
0930	3	268
0934	1	269
0940	1	270
095	1	271
0954	1	272
1	1579	273
1,000	129	274
1,000,000	1	275
1,000th	1	276
1,002.4	9	277
1,003,366	1	278
1,004	2	279
1,009.564	1	280
1,010	1	281
1,020	3	282
1,024	1	283
1,026	1	284
1,026,78	1	285
1,031.5	1	286
1,032	2	287
1,033	2	288
1,034	1	289
1,035	2	290
1,036	1	291
1,038	1	292
1,040	4	293
1,043	1	294
1,047.68	1	295
1,047.680	1	296
1,048	1	297
1,050	4	298
1,052	2	299
1,054	1	300
1,055	1	301
1,055.078	1	302
1,055.31	1	303
1,060	1	304
1,063,000	1	305
1,063.276	1	306
1,063.83	1	307
1,064	1	308
1,069	1	309
1,070	2	310
1,080	2	311
1,084	1	312
1,085	1	313
1,085,677	1	314
1,095	2	315
1,100	11	316
1,101	1	317
1,105	1	318
1,106	1	319
1,120	2	320
1,122	1	321
1,125,582	1	322
1,127	1	323
1,130	1	324
1,136	2	325
1,137	2	326
1,139	2	327
1,142	1	328
1,144,448	1	329
1,145.5	2	330
1,150	2	331
1,150.5p	2	332
1,155p	1	333
1,156	2	334
1,157	2	335
1,157.5p	1	336
1,160.1	1	337
1,163.05	1	338
1,163.050	1	339
1,167	1	340
1,169	3	341
1,170	1	342
1,171	2	343
1,174	1	344
1,176	1	345
1,177	1	346
1,180	3	347
1,181	3	348
1,182,000	1	349
1,183	1	350
1,185.8	1	351
1,190	1	352
1,193	1	353
1,194	1	354
1,196	2	355
1,200	27	356
1,202	3	357
1,210	1	358
1,212.94	1	359
1,220	1	360
1,224,200	1	361
1,233	1	362
1,235	1	363
1,235,000	1	364
1,239	1	365
1,240	1	366
1,242.47	1	367
1,250	7	368
1,253	1	369
1,254	1	370
1,258.10	2	371
1,260	1	372
1,262.86	1	373
1,265	1	374
1,266	1	375
1,271	1	376
1,271,575	1	377
1,273.85	1	378
1,276	1	379
1,277.5	1	380
1,280	2	381
1,285.38	1	382
1,286p	1	383
1,289	2	384
1,291	1	385
1,294	1	386
1,295	2	387
1,296	1	388
1,299	1	389
1,299.70	1	390
1,300	22	391
1,304	3	392
1,305	3	393
1,307,858	1	394
1,312.295	1	395
1,313.917	1	396
1,317	1	397
1,330	1	398
1,331	1	399
1,337	1	400
1,344	1	401
1,350	3	402
1,355	1	403
1,358	1	404
1,369	1	405
1,380	1	406
1,383	2	407
1,391.77	2	408
1,395.46	1	409
1,397.7	1	410
1,400	24	411
1,402.81	1	412
1,409	1	413
1,415.4	2	414
1,428,000	1	415
1,435,000	2	416
1,439,200	1	417
1,440	4	418
1,449	1	419
1,450	2	420
1,452,000	2	421
1,460	1	422
1,475	1	423
1,479	6	424
1,479.0	1	425
1,479.4	1	426
1,483.76	2	427
1,486.55	1	428
1,494	1	429
1,495.58	2	430
1,500	42	431
1,500,000	1	432
1,503	2	433
1,508	1	434
1,523	1	435
1,526	1	436
1,530	2	437
1,544.70	4	438
1,550	2	439
1,551.5p	1	440
1,557.91	9	441
1,565	2	442
1,575,627	1	443
1,580	2	444
1,580,000	1	445
1,589.18	9	446
1,590	1	447
1,597	1	448
1,598.02	9	449
1,600	5	450
1,602	1	451
1,604.54	3	452
1,610	1	453
1,613.08	2	454
1,618,193	1	455
1,620	1	456
1,625	1	457
1,626.46	1	458
1,641	3	459
1,650	2	460
1,667	1	461
1,680	1	462
1,692	1	463
1,700	7	464
1,701	1	465
1,717.63	1	466
1,720	1	467
1,723	1	468
1,725.78	1	469
1,735	3	470
1,737	1	471
1,740	1	472
1,742	2	473
1,745	1	474
1,787	2	475
1,790	1	476
1,791	2	477
1,800	15	478
1,803.46	1	479
1,804.84	1	480
1,825.32	1	481
1,827	1	482
1,835	1	483
1,836	1	484
1,841	2	485
1,850	1	486
1,851.36	1	487
1,870	1	488
1,871	1	489
1,875	2	490
1,890	1	491
1,890,62	1	492
1,895.87	1	493
1,900	12	494
1,905	1	495
1,909.95	1	496
1,915	1	497
1,917.65	1	498
1,932	1	499
1,942	2	500
1,951.16	1	501
1,961	1	502
1,963.18	2	503
1,970	1	504
1,975.74	1	505
1,990	2	506
1.0	58	507
1.00	12	508
1.003	1	509
1.005	1	510
1.0062	1	511
1.008	1	512
1.01	15	513
1.013	1	514
1.016	1	515
1.017	1	516
1.02	30	517
1.026	2	518
1.03	18	519
1.04	27	520
1.043	1	521
1.05	42	522
1.055	1	523
1.058	1	524
1.06	19	525
1.067	2	526
1.069	1	527
1.07	18	528
1.070	1	529
1.08	12	530
1.084	1	531
1.09	22	532
1.097	2	533
1.1	112	534
1.10	25	535
1.104	1	536
1.108	1	537
1.1085	1	538
1.11	9	539
1.12	19	540
1.125	27	541
1.13	11	542
1.132	3	543
1.14	17	544
1.144	1	545
1.15	29	546
1.156	1	547
1.158	1	548
1.16	9	549
1.161	1	550
1.166	1	551
1.169	1	552
1.17	16	553
1.175	2	554
1.18	11	555
1.185	1	556
1.19	7	557
1.2	209	558
1.20	14	559
1.21	8	560
1.22	10	561
1.225	9	562
1.228	1	563
1.229	1	564
1.23	17	565
1.24	7	566
1.243	2	567
1.25	54	568
1.25p	1	569
1.26	21	570
1.267	5	571
1.27	17	572
1.28	10	573
1.2877	2	574
1.29	15	575
1.2908	1	576
1.295	1	577
1.2p	2	578
1.3	115	579
1.30	19	580
1.308	1	581
1.31	8	582
1.32	10	583
1.33	7	584
1.3300	2	585
1.3301	1	586
1.3312	2	587
1.3335	1	588
1.34	9	589
1.341.400	1	590
1.3413	1	591
1.342	1	592
1.343	1	593
1.35	30	594
1.3519	1	595
1.3534	1	596
1.354	1	597
1.3546	1	598
1.35p	2	599
1.36	13	600
1.37	10	601
1.375	23	602
1.379	3	603
1.38	17	604
1.389	1	605
1.39	6	606
